Original,Replacement,
כוח גס,brute force,
תרתי משמע,תַּרְתֵּי מַשְׁמָע,
חנון,חְנוּן,
רצפי,רִצְפֵי,
הדבאגר,הDebugger,
הלוך ושוב,back and forth,
שימוש חוזר,reuse,
הספק,הֶסְפֵּק,
מרתק,מְרַתֵּק,
בדבאגר,בDebugger,
משגשג,מְשַׂגְשֵׂג,
היתממות,הִתַּמְּמוּת,
נועזת,נוֹעֶזֶת,
מרתקים,מְרַתְּקִים,
יפהפה,יְפֵהפֶה,
משמעית,מַשְׁמָעִית,
בהחלט,בְּהֶחְלֵט,
להיעלם,לְהֵעָלֵם,
לסיום,לְסִיּוּם,
הישר,הַיְשֵׁר,
מאיים,מְאַיֵּם,
מטלות,מַטָּלוֹת,
אפס יום,Zero Day,
בקשת מיזוג,Pull Request,
הירשם,הֵרָשֵׁם,
עשר,עֶשֶׂר,
למפתחים,לַמְּפַתְּחִים,
גרסה מקדימה,Preview Version,
8200,שְׁמוֹנֶה מָאתַיִם,
81,שְׁמוֹנָה אֶחָד,
לנסות,לְנַסּוֹת,
ובטנקי,וּבְטַנְקֵי,
שורף,שׂוֹרֵף,
שרופות,שְׂרוּפוֹת,
פלט,פֶּלֶט,
החלפת הקשר,Context Switching,
אומנת,אוֹמֶנֶת,
מקדדי אווירה,Vibe Coders,
על טבעי,עַל טִבְעִי,
מהפכניים,מַהְפְּכָנִיִּים,
לפצח,לְפַצֵּחַ,
אב טיפוס,Prototype,
בדיקות יחידה,Unit Tests,
שימוש,שִׁמּוּשׁ,
מיקרו ניהול,Micro Management,
נלהבים,נִלְהָבִים,
רבה,רַבָּה,
פילוסופיות,פִּילוֹסוֹפִיּוֹת,
שוטף,שׁוֹטֵף,
רוחני,רוּחָנִי,
הכפלת,הַכְפָּלַת,
לאנדקס,לְאִנְדֵּקְס,
היטב,הֵיטֵב,
דפוסים,דְּפוּסִים,
לצרף,לְצָרֵף,
אתמול,אֶתְמוֹל,
אתי,אִתִּי,
כל,כֹּול,
"ארה""ב",ארצות הברית,
"בארה""ב",בארצות הברית,
כיאה,כַּיָּאֶה,
לעכל,לְעַכֵּל,
בכיף,בְּכֵּיף,
אתה יודעת,את יודעת,
סביבת עבודה משולבת,IDE,
מראות,מַרְאוֹת,
שגב,שֶׂגֶב,
אתה יודע,את יודעת,male
את יודעת,אתה יודע,female
אתה רוצה,את רוצה,male
את רוצה,אתה רוצה,female
תודה לך,תּוֹדָה לָךְ,male
תודה לך,תּוֹדָה לְךָ,female
בום,בּוּם,
המחשוב,הַמִּחְשׁוּב,
מגדלורים,מִגְדַּלּוֹרִים,
מעולה,מְעֻלֶּה,
