Original,Replacement,
כוח גס,brute force,
תרתי משמע,תַּרְתֵּי מַשְׁמָע,
חנון,חְנוּן,
רצפי,רִצְפֵי,
הדבאגר,הDebugger,
הלוך ושוב,back and forth,
שימוש חוזר,reuse,
הספק,הֶסְפֵּק,
מרתק,מְרַתֵּק,
בדבאגר,בDebugger,
משגשג,מְשַׂגְשֵׂג,
היתממות,הִתַּמְּמוּת,
נועזת,נוֹעֶזֶת,
מרתקים,מְרַתְּקִים,
יפהפה,יְפֵהפֶה,
משמעית,מַשְׁמָעִית,
בהחלט,בְּהֶחְלֵט,
להיעלם,לְהֵעָלֵם,
לסיום,לְסִיּוּם,
הישר,הַיְשֵׁר,
מאיים,מְאַיֵּם,
מטלות,מַטָּלוֹת,
אפס יום,Zero Day,
בקשת מיזוג,Pull Request,
הירשם,הֵרָשֵׁם,
עשר,עֶשֶׂר,
למפתחים,לַמְּפַתְּחִים,
גרסה מקדימה,Preview Version,
8200,שְׁמוֹנֶה מָאתַיִם,
81,שְׁמוֹנָה אֶחָד,
לנסות,לְנַסּוֹת,
ובטנקי,וּבְטַנְקֵי,
שורף,שׂוֹרֵף,
שרופות,שְׂרוּפוֹת,
פלט,פֶּלֶט,
החלפת הקשר,Context Switching,
אומנת,אוֹמֶנֶת,
מקדדי אווירה,Vibe Coders,
על טבעי,עַל טִבְעִי,
מהפכניים,מַהְפְּכָנִיִּים,
לפצח,לְפַצֵּחַ,
אב טיפוס,Prototype,
בדיקות יחידה,Unit Tests,
שימוש,שִׁמּוּשׁ,
מיקרו ניהול,Micro Management,
נלהבים,נִלְהָבִים,
רבה,רַבָּה,
פילוסופיות,פִּילוֹסוֹפִיּוֹת,
שוטף,שׁוֹטֵף,
רוחני,רוּחָנִי,
הכפלת,הַכְפָּלַת,
לאנדקס,לְאִנְדֵּקְס,
היטב,הֵיטֵב,
דפוסים,דְּפוּסִים,
לצרף,לְצָרֵף,
אתמול,אֶתְמוֹל,
אתי,אִתִּי,
כל,כֹּול,
"ארה""ב",ארצות הברית,
"בארה""ב",בארצות הברית,
כיאה,כַּיָּאֶה,
לעכל,לְעַכֵּל,
בכיף,בְּכֵּיף,
אתה יודעת,את יודעת,
סביבת עבודה משולבת,IDE,
מראות,מַרְאוֹת,
שגב,שֶׂגֶב,
אתה יודע,את יודעת,male
את יודעת,אתה יודע,female
אתה רוצה,את רוצה,male
את רוצה,אתה רוצה,female
תודה לך,תּוֹדָה לָךְ,male
תודה לך,תּוֹדָה לְךָ,female
בום,בּוּם,
המחשוב,הַמִּחְשׁוּב,
מגדלורים,מִגְדַּלּוֹרִים,
מעולה,מְעֻלֶּה,
משתמשי קצה,מִשְׁתַּמְּשֵׁי קָצֶה,
חושפת,חוֹשֶׂפֶת,
רצפי,רִצְפֵי,
פענוח,פִּעְנוּחַ,
חסר כל הגיון,חֲסַר כָּל הִגָּיוֹן,
המודל,הַמּוֹדֵל,
ללא הרף,לְלֹא הֶרֶף,
למה לצפות,לְמָה לְצַפּוֹת,
להיות איתך,לִהְיוֹת אִתָּךְ,male
להיות איתך,לִהְיוֹת אִתְּךָ,female
קפדנית,קַפְּדָנִית,
בהחלט,בְּהֶחְלֵט,
המשתרע,הַמִּשְׂתָּרֵעַ,
אמרת,אָמַרְתָּ,female
אמרת,אָמַרְתְּ,male
לדמיין,לְדַמְיֵן,
פיצר,feature,
פיצ'ר,feature,
יגללו,יִגְלְלוּ,
עפרון,עִפָּרוֹן,
הישר,הַיְשֵׁר,
שלך,שֶׁלְּךָ,female
שלך,שֶׁלָּךְ,male
פילוסופי,פִילוֹסוֹפִי,
זרימת עבודה,workflow,
צינור,pipeline,
יבש,יָבֵשׁ,
דיברת,דִּבַּרְתָּ,female
דיברת,דִּבַּרְתְּ,male
דברת,דִּבַּרְתָּ,female
דברת,דִּבַּרְתְּ,male
מהפכה,מֵהֲפֵכָה,
מצטער,מִצְטַעֵר,
מוצג,מֻצָּג,
"מארה""ב",מארצות הברית,
משגשג,מְשַׂגְשֵׂג,
משרתי,מִשָּׁרָתֵי,
סוכנית,סוֹכְנִית,
מנטרת,מְנַטֶּרֶת,
בחומרה,בְּחוֹמְרָהּ,
פרטיות,פְּרָטִיּוּת,
מהנדס,מְהַנְדֵּס,
אישר,אִשֵּׁר,
טים,טִים,
שאמרת,שֶׁאָמַרְתְּ,male
שאמרת,שֶׁאָמַרְתָּ,female
איתי,אִתִּי,
אותך,אוֹתְךָ,female
אותך,אוֹתָךְ,male
אנושי,אֱנוֹשִׁי,
שאמרת,שֶׁאָמַרְתָּ,female
שאמרת,שֶׁאָמַרְתְּ,male
שצללת,שֶׁצָּלַלְתָּ,female
שצללת,שֶׁצָּלַלְתְּ,male
מקפים,מַקָּפִים,
בוט,בּוֹט,
תל אביב,תֵּל אָבִיב,
כמוך,כָּמוֹךָ,female
כמוך,כָּמוֹךְ,male
שלך,שֶׁלְּךָ,female
שלך,שֶׁלָּךְ,male
לינקים,לִיֹּנְקִים,
שרצית,שֶׁרָצִיתָ,female
שרצית,שֶׁרָצִית,male
הזכרת,הִזְכַּרְתְּ,male
הזכרת,הִזְכַּרְתָּ,female
דיברת,דִּבַּרְתְּ,male
דיברת,דִּבַּרְתָּ,female
שכל ישר,common sense,
עשית,עָשִׂית,male
עשית,עָשִׂיתָ,female
שמעת,שָׁמַעְתְּ,male
שמעת,שָׁמַעְתָּ,female
גרילה,Guerrilla ,
תן,תְּנִי,male
תן,תֵּן,female
שלך,שֶׁלָּךְ,male
שלך,שֶׁלְּךָ,female
התכוונת,הִתְכַּוַּנְתְּ,male
התכוונת,הִתְכַּוַּנְתָּ,female
את יודעת,אַתָּה יוֹדֵעַ,female
את יודעת,אַתְּ יוֹדַעַת,male
רתמה,harness,
רתמות,harnessed,
ערימה,heap,
ערימות,heaps,
פיגומים,Scaffolding,
חלונות הקשר,context windows,
מסגרת,framework,
למזג,to merge,
קמע,קָמֵעַ,
תספר,תְּסַפֵּר,female
תספר,תְּסַפְּרִי,male
תראי,תִּרְאִי,male
תראי,תִּרְאֶה,female
איתך,אִתָּךְ,male
איתך,אִתְּךָ,female
הצגת,הִצַּגְתְּ,male
הצגת,הִצַּגְתָּ,female
לשגשג,לְשַׂגְשֵׂג,
מארהב,מֵאַרְצוֹת הַבְּרִית,
לארהב,לאַרְצוֹת הַבְּרִית,
